year,image_id,image,segmentation_mask
2007,2007_000032,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000032.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000032.png
2007,2007_000033,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000033.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000033.png
2007,2007_000039,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000039.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000039.png
2007,2007_000042,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000042.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000042.png
2007,2007_000061,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000061.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000061.png
2007,2007_000063,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000063.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000063.png
2007,2007_000068,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000068.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000068.png
2007,2007_000121,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000121.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000121.png
2007,2007_000123,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000123.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000123.png
2007,2007_000129,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000129.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000129.png
2007,2007_000170,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000170.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000170.png
2007,2007_000175,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000175.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000175.png
2007,2007_000187,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000187.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000187.png
2007,2007_000241,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000241.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000241.png
2007,2007_000243,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000243.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000243.png
2007,2007_000250,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000250.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000250.png
2007,2007_000256,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000256.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000256.png
2007,2007_000323,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000323.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000323.png
2007,2007_000332,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000332.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000332.png
2007,2007_000333,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000333.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000333.png
2007,2007_000346,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000346.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000346.png
2007,2007_000363,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000363.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000363.png
2007,2007_000364,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000364.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000364.png
2007,2007_000392,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000392.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000392.png
2007,2007_000452,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000452.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000452.png
2007,2007_000464,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000464.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000464.png
2007,2007_000480,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000480.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000480.png
2007,2007_000491,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000491.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000491.png
2007,2007_000504,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000504.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000504.png
2007,2007_000515,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000515.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000515.png
2007,2007_000528,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000528.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000528.png
2007,2007_000529,./voc2012_trainval/VOCdevkit/VOC2012/JPEGImages/2007_000529.jpg,./voc2012_trainval/VOCdevkit/VOC2012/SegmentationClass/2007_000529.png
